"Id";"DTime";"AHorizontal";"AVertical";"Frequency";"Amplitude";"Variance";"Snr"
283;"2024-02-07 11:40:51";10;0;700;-52.4159;0.04021;75.592
284;"2024-02-07 11:40:51";10;0;700;-52.4478;0.035153;80.5984
285;"2024-02-07 11:40:51";10;0;700;-52.4755;0.0317916;71.4707
286;"2024-02-07 11:40:51";10;0;700;-52.4911;0.0324907;66.6609
287;"2024-02-07 11:40:57";10;0;800;-51.7845;0.0280652;138.761
288;"2024-02-07 11:40:57";10;0;800;-51.7813;0.029696;131.921
289;"2024-02-07 11:40:57";10;0;800;-51.7654;0.0314532;145.773
290;"2024-02-07 11:40:57";10;0;800;-51.7528;0.0300208;154.407
291;"2024-02-07 11:40:57";10;0;800;-51.7215;0.0256818;140.29
292;"2024-02-07 11:40:57";10;0;800;-51.6927;0.0281054;154.467
293;"2024-02-07 11:40:57";10;0;800;-51.6475;0.0215309;153.646
294;"2024-02-07 11:40:57";10;0;800;-51.6276;0.023427;151.231
295;"2024-02-07 11:40:57";10;0;800;-51.6209;0.0238437;142.728
296;"2024-02-07 11:40:57";10;0;800;-51.6049;0.0312107;127.622
297;"2024-02-07 11:40:57";10;0;800;-51.5922;0.0283807;118.719
298;"2024-02-07 11:40:57";10;0;800;-51.588;0.0269735;128.0
299;"2024-02-07 11:40:57";10;0;800;-51.586;0.0338221;149.575
300;"2024-02-07 11:41:03";10;0;900;-41.2876;0.0174508;320.073
301;"2024-02-07 11:41:03";10;0;900;-41.2938;0.0200399;285.154
302;"2024-02-07 11:41:03";10;0;900;-41.2893;0.0170099;279.994
303;"2024-02-07 11:41:03";10;0;900;-41.2836;0.015608;258.526
304;"2024-02-07 11:41:03";10;0;900;-41.2841;0.0142571;248.793
305;"2024-02-07 11:41:03";10;0;900;-41.2807;0.0144155;266.977
306;"2024-02-07 11:41:03";10;0;900;-41.2881;0.0140888;247.22
307;"2024-02-07 11:41:03";10;0;900;-41.2758;0.016444;242.295
308;"2024-02-07 11:41:03";10;0;900;-41.2656;0.0192509;248.796
309;"2024-02-07 11:41:03";10;0;900;-41.2468;0.0217356;254.803
310;"2024-02-07 11:41:03";10;0;900;-41.2347;0.0185842;280.692
311;"2024-02-07 11:41:03";10;0;900;-41.2153;0.0213612;321.134
312;"2024-02-07 11:41:03";10;0;900;-41.2097;0.0149176;320.094
313;"2024-02-07 11:41:09";10;0;1000;-46.17;0.0181679;209.216
314;"2024-02-07 11:41:10";10;0;1000;-46.1832;0.016017;234.344
315;"2024-02-07 11:41:10";10;0;1000;-46.202;0.0189915;235.888
316;"2024-02-07 11:41:10";10;0;1000;-46.2195;0.019684;221.428
317;"2024-02-07 11:41:10";10;0;1000;-46.2334;0.0240736;223.813
318;"2024-02-07 11:41:10";10;0;1000;-46.2608;0.0196908;240.942
319;"2024-02-07 11:41:10";10;0;1000;-46.2659;0.021398;264.949
320;"2024-02-07 11:41:10";10;0;1000;-46.2733;0.0185862;247.893
321;"2024-02-07 11:41:10";10;0;1000;-46.2748;0.0236561;221.217
322;"2024-02-07 11:41:10";10;0;1000;-46.2767;0.0164009;231.108
323;"2024-02-07 11:41:10";10;0;1000;-46.2754;0.0218336;247.767
324;"2024-02-07 11:41:10";10;0;1000;-46.2819;0.0147466;238.54
325;"2024-02-07 11:41:10";10;0;1000;-46.2853;0.021779;274.017
326;"2024-02-07 11:41:16";10;0;1100;-39.0244;0.0174614;328.862
327;"2024-02-07 11:41:16";10;0;1100;-39.042;0.0190995;331.942
328;"2024-02-07 11:41:16";10;0;1100;-39.041;0.0173429;320.082
329;"2024-02-07 11:41:16";10;0;1100;-39.0459;0.0187556;335.39
330;"2024-02-07 11:41:16";10;0;1100;-39.0404;0.0172809;360.118
331;"2024-02-07 11:41:16";10;0;1100;-39.0441;0.0156701;361.295
332;"2024-02-07 11:41:16";10;0;1100;-39.0386;0.0166127;418.232
333;"2024-02-07 11:41:16";10;0;1100;-39.0395;0.0145953;410.213
334;"2024-02-07 11:41:16";10;0;1100;-39.0301;0.0163029;457.231
335;"2024-02-07 11:41:16";10;0;1100;-39.0281;0.015693;427.281
